case_date,judicial_officer,case_number
19-04-2021,Justice Beale,S ECR 2019 0267
19-04-2021,Justice Champion,S CR 2018 0063
19-04-2021,Justice Champion,S CR 2018 0064
19-04-2021,Justice Taylor,S CR 2018 0251
19-04-2021,Justice Taylor,S CR 2018 0288
19-04-2021,Justice Taylor,S ECR 2019 0170
19-04-2021,Justice Tinney,S ECR 2020 0174
19-04-2021,Justice Tinney,S ECR 2020 0175
19-04-2021,Justice Tinney,S ECR 2020 0176
19-04-2021,Justice Tinney,S ECR 2020 0177
19-04-2021,Justice Tinney,S ECR 2020 0178
19-04-2021,Justice Lasry,S ECR 2021 0065
19-04-2021,Justice Lasry,S ECI 2020 02456
19-04-2021,Justice Lasry,S ECI 2020 03397
19-04-2021,Justice John Dixon,S ECI 2020 04761
19-04-2021,Justice John Dixon,S ECI 2020 04761
19-04-2021,Justice McDonald,S CI 2018 01793
19-04-2021,Justice Keogh,S ECI 2019 05068
19-04-2021,Justice Keogh,S ECI 2019 05068
19-04-2021,Justice Keogh,S ECI 2020 00373
19-04-2021,Justice Richards,S ECI 2020 04047
19-04-2021,Justice Richards,S ECI 2020 04047
19-04-2021,Justice Forbes,S ECI 2019 02021
19-04-2021,Justice Forbes,S ECI 2020 01603
19-04-2021,Justice Forbes,S ECI 2018 02808
19-04-2021,Judicial Registrar Gourlay,S ECI 2020 04089
19-04-2021,Judicial Registrar Irving,S CI 2012 01172
19-04-2021,Justice Osborne,S ECI 2020 04704
19-04-2021,Justice Garde,S ECI 2020 02703
19-04-2021,Justice Garde,S ECI 2020 02703
19-04-2021,Justice Garde,S ECI 2020 02703
19-04-2021,Associate Justice Efthim,S ECI 2020 00387
19-04-2021,Associate Justice Matthews,S ECI 2020 00842
19-04-2021,Judicial Registrar Irving,S CI 2013 00790
19-04-2021,Costs Registrar Walton,S ECI 2021 00697
19-04-2021,Associate Justice Daly,S ECI 2019 02152
19-04-2021,Associate Justice Ierodiaconou,S ECI 2019 03487
20-04-2021,"The President, Justice Beach, Justice T. Forrest",S EAPCR 2020 0100
20-04-2021,"The President, Justice Beach, Justice T. Forrest",S EAPCR 2020 0100
20-04-2021,"The President, Justice Beach, Justice T. Forrest",S EAPCR 2020 0100
20-04-2021,"Justice McLeish, Justice Niall, Justice Kennedy",S EAPCI 2020 0098
20-04-2021,"Justice McLeish, Justice Niall, Justice Kennedy",S EAPCI 2020 0098
20-04-2021,Justice Hollingworth,S ECR 2020 0251
20-04-2021,Justice Beale,S ECR 2019 0267
20-04-2021,Justice Champion,S CR 2018 0063
20-04-2021,Justice Champion,S CR 2018 0064
20-04-2021,Justice Taylor,S CR 2018 0251
20-04-2021,Justice Taylor,S CR 2018 0288
20-04-2021,Justice Tinney,S ECR 2020 0174
20-04-2021,Justice Tinney,S ECR 2020 0175
20-04-2021,Justice Tinney,S ECR 2020 0176
20-04-2021,Justice Tinney,S ECR 2020 0177
20-04-2021,Justice Tinney,S ECR 2020 0178
20-04-2021,Judicial Registrar Freeman,S ECR 2019 0206
20-04-2021,Judicial Registrar Freeman,S ECR 2021 0082
20-04-2021,Justice Macaulay,S ECI 2019 05598
20-04-2021,Justice Macaulay,S ECI 2020 03887
20-04-2021,Justice Blue,S CI 2015 02476
20-04-2021,Justice Keogh,S ECI 2019 05068
20-04-2021,Justice Keogh,S CI 2018 01058
20-04-2021,Justice Keogh,S ECI 2018 02832
20-04-2021,Justice Keogh,S ECI 2019 00399
20-04-2021,Justice Keogh,S ECI 2019 01607
20-04-2021,Justice Keogh,S ECI 2019 02426
20-04-2021,Justice Keogh,S ECI 2019 02590
20-04-2021,Justice Keogh,S ECI 2019 03500
20-04-2021,Justice Keogh,S ECI 2019 05088
20-04-2021,Justice Keogh,S ECI 2020 00337
20-04-2021,Justice Keogh,S ECI 2020 00950
20-04-2021,Justice Quigley,S ECI 2020 01537
20-04-2021,Justice Forbes,S ECI 2021 01177
20-04-2021,Judicial Registrar Englefield,S ECI 2019 05843
20-04-2021,Judicial Registrar Keith,S ECI 2019 00661
20-04-2021,Judicial Registrar Keith,S ECI 2021 00204
20-04-2021,Justice Connock,S ECI 2020 02817
20-04-2021,Justice Connock,S ECI 2020 02817
20-04-2021,Justice Connock,S ECI 2019 02873
20-04-2021,Justice Osborne,S ECI 2020 04766
20-04-2021,Associate Justice Derham,S ECI 2019 02711
20-04-2021,Judicial Registrar Keith,S ECI 2019 04051
20-04-2021,Deputy Prothonotary Day,S ECI 2015 00054
20-04-2021,Costs Registrar Conidi,S ECI 2021 00689
20-04-2021,Associate Justice Wood,S ECI 2020 04544
20-04-2021,Associate Justice Daly,S ECI 2020 03304
20-04-2021,Associate Justice Derham,S ECI 2018 00071
20-04-2021,Associate Justice Ierodiaconou,S ECI 2020 01434
20-04-2021,Associate Justice Matthews,S ECI 2020 04361
20-04-2021,Associate Justice Matthews,S ECI 2020 04690
20-04-2021,Deputy Prothonotary Valladares,S ECI 2020 03468
21-04-2021,"Justice Kyrou, Justice Kaye",S EAPCR 2020 0079
21-04-2021,"Justice Beach, Justice McLeish",S EAPCR 2019 0226
21-04-2021,"Justice Beach, Justice McLeish",S EAPCR 2019 0226
21-04-2021,"Justice Beach, Justice McLeish",S EAPCR 2020 0020
21-04-2021,"Justice Beach, Justice McLeish",S EAPCR 2020 0020
21-04-2021,"Justice Tate, Justice Kyrou, Justice Kennedy",S EAPCI 2020 0073
21-04-2021,"Justice Tate, Justice Kyrou, Justice Kennedy",S EAPCI 2020 0073
21-04-2021,Justice Hollingworth,S ECR 2021 0084
21-04-2021,Justice Beale,S ECR 2019 0119
21-04-2021,Justice Beale,S ECR 2019 0267
21-04-2021,Justice Champion,S ECR 2019 0286
21-04-2021,Justice Champion,S CR 2018 0063
21-04-2021,Justice Champion,S CR 2018 0064
21-04-2021,Justice Taylor,S CR 2018 0251
21-04-2021,Justice Taylor,S CR 2018 0288
21-04-2021,Justice Tinney,S ECR 2020 0174
21-04-2021,Justice Tinney,S ECR 2020 0175
21-04-2021,Justice Tinney,S ECR 2020 0176
21-04-2021,Justice Tinney,S ECR 2020 0177
21-04-2021,Justice Tinney,S ECR 2020 0178
21-04-2021,Justice Coghlan,S ECR 2021 0045
21-04-2021,Justice Lasry,S ECR 2021 0083
21-04-2021,Judicial Registrar Freeman,S ECR 2020 0142
21-04-2021,Judicial Registrar Freeman,S ECR 2020 0368
21-04-2021,Justice McDonald,S CI 2018 01465
21-04-2021,Justice Keogh,S ECI 2019 05068
21-04-2021,Justice Moore,S ECI 2019 03954
21-04-2021,Justice Forbes,S ECI 2021 01188
21-04-2021,Judicial Registrar Keith,S ECI 2020 04634
21-04-2021,Judicial Registrar Keith,S ECI 2021 00744
21-04-2021,Judicial Registrar Keith,S ECI 2021 00746
21-04-2021,Judicial Registrar Keith,S ECI 2021 00793
21-04-2021,Judicial Registrar Keith,S ECI 2021 00811
21-04-2021,Judicial Registrar Keith,S ECI 2021 00812
21-04-2021,Judicial Registrar Keith,S ECI 2021 00848
21-04-2021,Judicial Registrar Keith,S ECI 2021 00874
21-04-2021,Judicial Registrar Keith,S ECI 2021 01116
21-04-2021,Justice Moore,S PRB 2012 00877
21-04-2021,Justice Riordan,S ECI 2020 03677
21-04-2021,Justice Riordan,S ECI 2020 04378
21-04-2021,Justice Riordan,S ECI 2020 04378
21-04-2021,Justice Riordan,S ECI 2020 04378
21-04-2021,Justice Riordan,S ECI 2020 03075
21-04-2021,Justice Riordan,S ECI 2020 03075
21-04-2021,Justice Riordan,S ECI 2020 03606
21-04-2021,Justice Riordan,S ECI 2020 03606
21-04-2021,Justice Nichols,S ECI 2020 03281
21-04-2021,Justice Robson,S ECI 2021 00871
21-04-2021,Judicial Registrar Irving,S ECI 2021 00596
21-04-2021,Judicial Registrar Irving,S ECI 2021 00751
21-04-2021,Judicial Registrar Irving,S ECI 2021 00773
21-04-2021,Judicial Registrar Irving,S ECI 2021 00776
21-04-2021,Judicial Registrar Irving,S ECI 2021 00780
21-04-2021,Judicial Registrar Irving,S ECI 2021 00807
21-04-2021,Judicial Registrar Irving,S ECI 2021 00767
21-04-2021,Judicial Registrar Irving,S ECI 2021 00769
21-04-2021,Judicial Registrar Irving,S ECI 2021 00803
21-04-2021,Judicial Registrar Steffensen,S ECI 2021 00137
21-04-2021,Judicial Registrar Steffensen,S ECI 2021 00399
21-04-2021,Judicial Registrar Steffensen,S ECI 2021 00613
21-04-2021,Judicial Registrar Steffensen,S ECI 2021 00631
21-04-2021,Judicial Registrar Steffensen,S ECI 2021 00651
21-04-2021,Judicial Registrar Steffensen,S ECI 2021 00687
21-04-2021,Judicial Registrar Steffensen,S ECI 2021 00801
21-04-2021,Judicial Registrar Steffensen,S ECI 2021 00828
21-04-2021,Costs Registrar Walton,S ECI 2021 00376
21-04-2021,Associate Justice Efthim,S ECI 2020 04654
21-04-2021,Associate Justice Daly,S ECI 2020 04117
21-04-2021,Associate Justice Derham,S ECI 2019 04492
22-04-2021,"Justice Beach, Justice Kaye, Justice Niall",S EAPCR 2020 0001
22-04-2021,"Justice Beach, Justice Kaye, Justice Niall",S EAPCR 2020 0001
22-04-2021,"Justice Kaye, Justice Niall",S EAPCR 2020 0248
22-04-2021,"Justice Kaye, Justice Niall",S EAPCR 2020 0248
22-04-2021,"Justice Kaye, Justice Niall",S EAPCR 2020 0248
22-04-2021,"Justice Kaye, Justice Niall",S EAPCR 2020 0248
22-04-2021,Justice Beale,S ECR 2019 0267
22-04-2021,Justice Incerti,S ECR 2021 0006
22-04-2021,Justice Champion,S CR 2018 0063
22-04-2021,Justice Champion,S CR 2018 0064
22-04-2021,Justice Taylor,S CR 2018 0251
22-04-2021,Justice Taylor,S CR 2018 0288
22-04-2021,Justice Coghlan,S CR 2008 1744
22-04-2021,Justice Lasry,S ECR 2020 0054
22-04-2021,Justice Lasry,S ECR 2020 0084
22-04-2021,Justice Lasry,S ECR 2019 0291
22-04-2021,Judicial Registrar Freeman,S ECR 2019 0168
22-04-2021,Judicial Registrar Freeman,S ECR 2021 0024
22-04-2021,Judicial Registrar Freeman,S ECR 2021 0088
22-04-2021,Judicial Registrar Freeman,S ECR 2020 0174
22-04-2021,Judicial Registrar Freeman,S ECR 2020 0175
22-04-2021,Judicial Registrar Freeman,S ECR 2020 0176
22-04-2021,Judicial Registrar Freeman,S ECR 2020 0177
22-04-2021,Judicial Registrar Freeman,S ECR 2020 0178
22-04-2021,Justice John Dixon,S ECI 2020 01434
22-04-2021,Justice Keogh,S ECI 2019 05068
22-04-2021,Justice Forbes,S CI 2017 03523
22-04-2021,Justice Forbes,S CI 2018 01667
22-04-2021,Justice Forbes,S ECI 2019 03487
22-04-2021,Justice Forbes,S ECI 2019 04376
22-04-2021,Justice Forbes,S ECI 2019 04963
22-04-2021,Justice Forbes,S ECI 2020 01990
22-04-2021,Justice Forbes,S ECI 2020 02100
22-04-2021,Justice Forbes,S ECI 2021 01188
22-04-2021,Justice Forbes,S ECI 2018 02808
22-04-2021,Justice Gorton,S ECI 2020 00624
22-04-2021,Judicial Registrar Englefield,S ECI 2020 04273
22-04-2021,Judicial Registrar Keith,S ECI 2020 04411
22-04-2021,Justice Moore,S PRB 2012 00877
22-04-2021,Justice Osborne,S ECI 2020 00673
22-04-2021,Justice Robson,S ECI 2021 00871
22-04-2021,Associate Justice Efthim,S ECI 2021 00282
22-04-2021,Associate Justice Wood,S ECI 2020 04071
22-04-2021,Associate Justice Gardiner,S ECI 2021 00623
22-04-2021,Justice Riordan,S ECI 2021 00943
22-04-2021,Associate Justice Daly,S ECI 2021 00315
22-04-2021,Associate Justice Ierodiaconou,S ECI 2020 04734
22-04-2021,Associate Justice Ierodiaconou,S ECI 2021 00840
23-04-2021,"Justice Priest, Justice Kyrou, Justice T Forrest",S EAPCR 2020 0088
23-04-2021,"Justice Priest, Justice Kyrou, Justice T Forrest",S EAPCR 2020 0088
23-04-2021,"Justice Priest, Justice Kyrou, Justice T Forrest",S EAPCR 2020 0088
23-04-2021,"Justice Priest, Justice Kyrou, Justice T Forrest",S EAPCR 2020 0093
23-04-2021,"Justice Priest, Justice Kyrou, Justice T Forrest",S EAPCR 2020 0093
23-04-2021,"Justice Priest, Justice Kyrou, Justice T Forrest",S EAPCR 2020 0093
23-04-2021,"Justice Priest, Justice Kyrou, Justice T Forrest",S EAPCR 2021 0030
23-04-2021,"Justice Priest, Justice Kyrou, Justice T Forrest",S EAPCR 2021 0030
23-04-2021,"Justice Priest, Justice Kyrou, Justice T Forrest",S EAPCR 2021 0030
23-04-2021,"Justice Priest, Justice Beach, Justice Kyrou",S EAPCR 2021 0010
23-04-2021,"Justice Priest, Justice Beach, Justice Kyrou",S EAPCR 2021 0010
23-04-2021,Justice Hollingworth,S ECR 2020 0251
23-04-2021,Justice Beale,S CR 2018 0004
23-04-2021,Justice Beale,S ECR 2019 0267
23-04-2021,Justice Champion,S CR 2018 0063
23-04-2021,Justice Champion,S CR 2018 0064
23-04-2021,Justice Taylor,S CR 2018 0251
23-04-2021,Justice Taylor,S CR 2018 0288
23-04-2021,Justice Taylor,S ECR 2020 0228
23-04-2021,Judicial Registrar Freeman,S ECR 2020 0197
23-04-2021,Justice Niall,S ECI 2020 03946
23-04-2021,Justice John Dixon,S ECI 2020 01434
23-04-2021,Justice McDonald,S ECI 2020 03675
23-04-2021,Justice Incerti,S ECI 2019 00489
23-04-2021,Justice Incerti,S ECI 2019 01337
23-04-2021,Justice Incerti,S ECI 2019 04399
23-04-2021,Justice Incerti,S ECI 2020 00011
23-04-2021,Justice Incerti,S ECI 2020 00667
23-04-2021,Justice Incerti,S ECI 2020 01528
23-04-2021,Justice Incerti,S ECI 2019 03012
23-04-2021,Justice Incerti,S ECI 2020 03660
23-04-2021,Justice Incerti,S ECI 2021 00346
23-04-2021,Justice Riordan,S CI 2016 02187
23-04-2021,Justice Riordan,S CI 2016 04936
23-04-2021,Justice Blue,S CI 2015 02476
23-04-2021,Justice Keogh,S ECI 2018 00857
23-04-2021,Justice Richards,S ECI 2018 02530
23-04-2021,Justice Forbes,S ECI 2020 01813
23-04-2021,Judicial Registrar Keith,S CI 2016 02257
23-04-2021,Judicial Registrar Keith,S ECI 2019 01406
23-04-2021,Judicial Registrar Keith,S ECI 2019 03533
23-04-2021,Judicial Registrar Keith,S ECI 2019 03533
23-04-2021,Judicial Registrar Keith,S ECI 2020 01965
23-04-2021,Judicial Registrar Keith,S ECI 2021 00701
23-04-2021,Justice Riordan,S PRB 2016 06981
23-04-2021,Justice Moore,S PRB 2012 00877
23-04-2021,Judicial Registrar Keith,S PRB 2020 22512
23-04-2021,Justice McDonald,S ECI 2019 05844
23-04-2021,Justice McDonald,S ECI 2019 05918
23-04-2021,Justice Riordan,S ECI 2018 01199
23-04-2021,Justice Riordan,S ECI 2020 03146
23-04-2021,Justice Riordan,S ECI 2020 00952
23-04-2021,Justice Riordan,S ECI 2020 02467
23-04-2021,Justice Riordan,S ECI 2018 02005
23-04-2021,Justice Riordan,S ECI 2020 01465
23-04-2021,Justice Connock,S ECI 2019 05638
23-04-2021,Justice Nichols,S ECI 2019 00690
23-04-2021,Justice Nichols,S ECI 2019 04231
23-04-2021,Justice Nichols,S ECI 2020 02853
23-04-2021,Justice Nichols,S ECI 2020 04230
23-04-2021,Justice Osborne,S ECI 2020 04287
23-04-2021,Justice Osborne,S CI 2012 04695
23-04-2021,Justice Osborne,S ECI 2019 05902
23-04-2021,Justice Osborne,S ECI 2020 03902
23-04-2021,Justice Osborne,S ECI 2021 01072
23-04-2021,Associate Justice Gardiner,S ECI 2021 00481
23-04-2021,Associate Justice Gardiner,S ECI 2021 00229
23-04-2021,Associate Justice Gardiner,S ECI 2019 05699
23-04-2021,Associate Justice Gardiner,S ECI 2021 00635
23-04-2021,Associate Justice Gardiner,S ECI 2020 02502
23-04-2021,Associate Justice Gardiner,S ECI 2020 02571
23-04-2021,Associate Justice Gardiner,S ECI 2020 02580
23-04-2021,Associate Justice Gardiner,S ECI 2020 02882
23-04-2021,Associate Justice Gardiner,S ECI 2020 03063
23-04-2021,Associate Justice Gardiner,S ECI 2021 00231
23-04-2021,Associate Justice Gardiner,S ECI 2021 00705
23-04-2021,Associate Justice Gardiner,S ECI 2021 00759
23-04-2021,Associate Justice Gardiner,S ECI 2021 00771
23-04-2021,Associate Justice Gardiner,S ECI 2021 00772
23-04-2021,Associate Justice Gardiner,S ECI 2021 00787
23-04-2021,Associate Justice Gardiner,S ECI 2021 00788
23-04-2021,Judicial Registrar Steffensen,S ECI 2020 03201
23-04-2021,Associate Justice Efthim,S ECI 2020 04783
23-04-2021,Associate Justice Ierodiaconou,S ECI 2020 04782
23-04-2021,Associate Justice Matthews,S ECI 2018 01134
23-04-2021,Associate Justice Matthews,S ECI 2019 03914
23-04-2021,Associate Justice Matthews,S ECI 2020 00920
23-04-2021,Associate Justice Matthews,S ECI 2020 00920
23-04-2021,Associate Justice Matthews,S ECI 2020 04382
23-04-2021,Associate Justice Matthews,S ECI 2020 04719
23-04-2021,Associate Justice Matthews,S ECI 2020 00227
23-04-2021,Associate Justice Matthews,S ECI 2020 00885
23-04-2021,Associate Justice Matthews,S ECI 2020 01163
23-04-2021,Associate Justice Matthews,S ECI 2020 01238
23-04-2021,Associate Justice Matthews,S ECI 2020 04647
26-04-2021,"Justice Priest, Justice Kaye, Justice T. Forrest",S EAPCR 2020 0040
26-04-2021,"Justice Priest, Justice Kaye, Justice T. Forrest",S EAPCR 2020 0040
26-04-2021,"Justice Priest, Justice Beach, Justice Kyrou",S EAPCR 2021 0010
26-04-2021,"Justice McLeish, Justice Niall, Justice Kennedy",S EAPCI 2020 0098
26-04-2021,"Justice McLeish, Justice Niall, Justice Kennedy",S EAPCI 2020 0098
26-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0026
26-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0026
26-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0027
26-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0027
26-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0028
26-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0028
26-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0039
26-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0039
26-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0040
26-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0040
26-04-2021,Justice Incerti,S ECR 2021 0080
26-04-2021,Justice Jane Dixon,S ECR 2021 0020
26-04-2021,Justice Taylor,S CR 2018 0251
26-04-2021,Justice Taylor,S CR 2018 0288
26-04-2021,Justice Tinney,S ECR 2019 0199
26-04-2021,Justice Tinney,S ECR 2021 0081
26-04-2021,Justice Tinney,S ECR 2020 0054
26-04-2021,Justice Tinney,S ECR 2020 0084
26-04-2021,Justice Coghlan,S ECR 2021 0089
26-04-2021,Judicial Registrar Freeman,S ECR 2020 0284
26-04-2021,Judicial Registrar Freeman,S ECR 2020 0312
26-04-2021,Justice Macaulay,S ECI 2020 03917
26-04-2021,Justice McDonald,S CI 2018 01579
26-04-2021,Justice McDonald,S CI 2018 01579
26-04-2021,Justice Keogh,S ECI 2019 01337
26-04-2021,Justice Keogh,S ECI 2020 00133
26-04-2021,Justice Keogh,S ECI 2019 05068
26-04-2021,Justice Keogh,S ECI 2020 00133
26-04-2021,Justice Forbes,S ECI 2020 04091
26-04-2021,Justice Gorton,S ECI 2019 05476
26-04-2021,Judicial Registrar Gourlay,S ECI 2019 03909
26-04-2021,Justice Moore,S PRB 2012 00877
26-04-2021,Justice Moore,S PRB 2019 10845
26-04-2021,Justice Riordan,S ECI 2019 03875
26-04-2021,Justice Delany,S ECI 2019 02810
26-04-2021,Associate Justice Efthim,S ECI 2020 03559
26-04-2021,Associate Justice Randall,S ECI 2018 02816
26-04-2021,Deputy Prothonotary Day,S ECI 2015 00015
26-04-2021,Associate Justice Efthim,S ECI 2020 02921
26-04-2021,Associate Justice Efthim,S CI 2018 01069
26-04-2021,Associate Justice Efthim,S ECI 2019 03832
26-04-2021,Associate Justice Matthews,S ECI 2019 03696
26-04-2021,Associate Justice Matthews,S ECI 2019 03696
26-04-2021,Associate Justice Matthews,S ECI 2019 03696
27-04-2021,"Justice Priest, Justice Kaye, Justice T. Forrest",S EAPCR 2020 0002
27-04-2021,"Justice Priest, Justice Kaye, Justice T. Forrest",S EAPCR 2020 0002
27-04-2021,"Justice Kaye, Justice Niall",S EAPCR 2020 0248
27-04-2021,"Justice Kaye, Justice Niall",S EAPCR 2020 0248
27-04-2021,"Justice Kaye, Justice Niall",S EAPCR 2020 0248
27-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0076
27-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0076
27-04-2021,Justice Hollingworth,S ECR 2021 0053
27-04-2021,Justice Incerti,S ECR 2020 0162
27-04-2021,Justice Jane Dixon,S ECR 2021 0087
27-04-2021,Justice Champion,S CR 2018 0098
27-04-2021,Justice Taylor,S CR 2018 0251
27-04-2021,Justice Taylor,S CR 2018 0288
27-04-2021,Justice Coghlan,S ECR 2021 0088
27-04-2021,Justice Cavanough,S ECI 2020 03895
27-04-2021,Justice Croucher,S ECI 2019 00917
27-04-2021,Justice Keogh,S ECI 2019 01337
27-04-2021,Justice Forbes,S ECI 2021 01177
27-04-2021,Judicial Registrar Englefield,S ECI 2020 00404
27-04-2021,Judicial Registrar Englefield,S ECI 2019 00293
27-04-2021,Judicial Registrar Englefield,S ECI 2019 01219
27-04-2021,Judicial Registrar Englefield,S ECI 2019 02509
27-04-2021,Judicial Registrar Englefield,S ECI 2020 01432
27-04-2021,Judicial Registrar Englefield,S ECI 2020 01832
27-04-2021,Judicial Registrar Englefield,S ECI 2020 02099
27-04-2021,Judicial Registrar Englefield,S ECI 2020 02129
27-04-2021,Judicial Registrar Keith,S ECI 2021 01214
27-04-2021,Judicial Registrar Keith,S ECI 2021 00094
27-04-2021,Judicial Registrar Keith,S ECI 2021 01204
27-04-2021,Justice Riordan,S ECI 2020 04534
27-04-2021,Justice Connock,S ECI 2017 00289
27-04-2021,Justice Lyons,S ECI 2018 01945
27-04-2021,Justice Delany,S ECI 2019 02810
27-04-2021,Associate Justice Gardiner,S ECI 2020 01321
27-04-2021,Associate Justice Gardiner,S ECI 2020 04120
27-04-2021,Associate Justice Hetyey,S ECI 2019 03616
27-04-2021,Judicial Registrar Irving,S ECI 2020 02713
27-04-2021,Associate Justice Efthim,S ECI 2020 01828
27-04-2021,Associate Justice Wood,S ECI 2021 00158
27-04-2021,Associate Justice Derham,S ECI 2020 00324
27-04-2021,Associate Justice Ierodiaconou,S ECI 2018 01557
27-04-2021,Deputy Prothonotary Draper,S ECI 2021 00313
28-04-2021,Justice Niall,S EAPCR 2020 0150
28-04-2021,Justice Niall,S EAPCR 2020 0152
28-04-2021,Justice Niall,S EAPCR 2020 0219
28-04-2021,Justice Beach,S EAPCI 2020 0117
28-04-2021,Justice Hollingworth,S ECR 2020 0251
28-04-2021,Justice Incerti,S ECI 2019 05354
28-04-2021,Justice Champion,S CR 2018 0098
28-04-2021,Justice Taylor,S CR 2018 0251
28-04-2021,Justice Taylor,S CR 2018 0288
28-04-2021,Justice Tinney,S ECR 2021 0081
28-04-2021,Judicial Registrar Freeman,S ECR 2021 0090
28-04-2021,Judicial Registrar Freeman,S ECR 2021 0091
28-04-2021,Justice Cavanough,S ECI 2020 03588
28-04-2021,Justice John Dixon,S ECI 2020 03282
28-04-2021,Justice John Dixon,S ECI 2020 03282
28-04-2021,Justice John Dixon,S ECI 2020 03339
28-04-2021,Justice John Dixon,S ECI 2020 03339
28-04-2021,Justice John Dixon,S CI 2018 01383
28-04-2021,Justice John Dixon,S ECI 2019 04855
28-04-2021,Justice John Dixon,S ECI 2020 02597
28-04-2021,Justice John Dixon,S ECI 2020 04708
28-04-2021,Justice John Dixon,S ECI 2020 04713
28-04-2021,Justice John Dixon,S ECI 2020 04725
28-04-2021,Justice John Dixon,S ECI 2021 00208
28-04-2021,Justice Macaulay,S ECI 2019 04606
28-04-2021,Justice Macaulay,S ECI 2020 01901
28-04-2021,Justice Macaulay,S ECI 2020 02223
28-04-2021,Justice Macaulay,S ECI 2020 02350
28-04-2021,Justice Macaulay,S ECI 2021 00044
28-04-2021,Justice Macaulay,S ECI 2021 00044
28-04-2021,Justice Macaulay,S ECI 2020 02552
28-04-2021,Justice McDonald,S CI 2018 01465
28-04-2021,Justice Keogh,S CI 2017 02005
28-04-2021,Judicial Registrar Keith,S ECI 2021 00971
28-04-2021,Judicial Registrar Keith,S ECI 2020 02888
28-04-2021,Judicial Registrar Keith,S ECI 2021 00113
28-04-2021,Judicial Registrar Keith,S ECI 2021 00113
28-04-2021,Judicial Registrar Keith,S ECI 2021 00252
28-04-2021,Judicial Registrar Keith,S ECI 2021 00045
28-04-2021,Judicial Registrar Keith,S ECI 2021 00045
28-04-2021,Judicial Registrar Keith,S ECI 2021 00676
28-04-2021,Judicial Registrar Keith,S ECI 2021 00424
28-04-2021,Judicial Registrar Keith,S ECI 2021 00520
28-04-2021,Judicial Registrar Keith,S ECI 2020 04594
28-04-2021,Judicial Registrar Keith,S ECI 2021 00644
28-04-2021,Judicial Registrar Keith,S ECI 2021 00646
28-04-2021,Justice Connock,S ECI 2017 00289
28-04-2021,Justice Delany,S ECI 2019 02810
28-04-2021,Associate Justice Gardiner,S ECI 2021 00635
28-04-2021,Associate Justice Matthews,S ECI 2021 01064
28-04-2021,Associate Justice Matthews,S ECI 2021 01064
28-04-2021,Judicial Registrar Irving,S ECI 2021 00469
28-04-2021,Judicial Registrar Irving,S ECI 2021 00473
28-04-2021,Judicial Registrar Irving,S ECI 2021 00540
28-04-2021,Judicial Registrar Irving,S ECI 2021 00843
28-04-2021,Judicial Registrar Irving,S ECI 2021 00870
28-04-2021,Judicial Registrar Irving,S ECI 2021 00881
28-04-2021,Judicial Registrar Irving,S ECI 2021 00905
28-04-2021,Judicial Registrar Irving,S ECI 2021 00908
28-04-2021,Judicial Registrar Irving,S ECI 2021 00873
28-04-2021,Judicial Registrar Irving,S ECI 2021 00923
28-04-2021,Judicial Registrar Irving,S ECI 2021 00944
28-04-2021,Judicial Registrar Irving,S ECI 2021 00620
28-04-2021,Judicial Registrar Steffensen,S ECI 2020 04570
28-04-2021,Judicial Registrar Steffensen,S ECI 2021 00401
28-04-2021,Judicial Registrar Steffensen,S ECI 2021 00580
28-04-2021,Judicial Registrar Steffensen,S ECI 2021 00629
28-04-2021,Judicial Registrar Steffensen,S ECI 2021 00898
28-04-2021,Judicial Registrar Steffensen,S ECI 2021 00901
28-04-2021,Judicial Registrar Steffensen,S ECI 2021 00907
28-04-2021,Judicial Registrar Steffensen,S ECI 2021 00915
28-04-2021,Judicial Registrar Steffensen,S ECI 2021 00916
28-04-2021,Judicial Registrar Steffensen,S ECI 2021 00937
28-04-2021,Judicial Registrar Steffensen,S ECI 2021 00942
28-04-2021,Judicial Registrar Steffensen,S ECI 2021 00953
28-04-2021,Associate Justice Wood,S ECI 2018 01515
28-04-2021,Associate Justice Hetyey,S ECI 2020 02447
29-04-2021,"The President, Justice McLeish",S EAPCR 2020 0036
29-04-2021,"The President, Justice McLeish",S EAPCR 2020 0099
29-04-2021,"Justice Tate, Justice Beach, Justice McLeish",S APCI 2019 0027
29-04-2021,"Justice Kyrou, Justice Emerton, Justice Kennedy",S EAPCI 2020 0106
